FOMCMeetingDate;;
26.09.2018;;
01.08.2018;;
13.06.2018;;
02.05.2018;;
21.03.2018;;
31.01.2018;;
13.12.2017;;
01.11.2017;;
20.09.2017;;
26.07.2017;;
14.06.2017;;
03.05.2017;;
15.03.2017;;
01.02.2017;;
14.12.2016;;
02.11.2016;;
21.09.2017;;
27.07.2016;;
15.06.2016;;
27.04.2016;;
16.03.2016;;
27.01.2016;;
16.12.2015;;
28.10.2015;;
17.09.2015;;
29.07.2015;;
17.06.2015;;
29.04.2015;;
18.03.2015;;
28.01.2015;;
17.12.2014;;
29.10.2014;;
17.09.2014;;
30.07.2014;;
18.06.2014;;
30.04.2014;;
19.03.2014;;
04.03.2014;;
29.01.2014;;
18.12.2013;;
30.10.2013;;
16.10.2013;;
18.09.2013;;
31.07.2013;;
19.06.2013;;
01.05.2013;;
20.03.2013;;
30.01.2013;;
12.12.2012;;
24.10.2012;;
13.09.2012;;
01.08.2012;;
20.06.2012;;
25.04.2012;;
13.03.2012;;
25.01.2012;;
13.12.2011;;
28.11.2011;;
02.11.2011;;
21.09.2011;;
09.08.2011;;
01.08.2011;;
22.06.2011;;
27.04.2011;;
15.03.2001;;
26.01.2011;;
14.12.2010;;
03.11.2010;;
15.10.2010;;
21.09.2010;;
10.08.2010;;
23.06.2010;;
09.05.2010;;
28.04.2010;;
16.03.2010;;
27.01.2010;;
16.12.2009;;
04.11.2009;;
23.09.2009;;
12.08.2009;;
24.06.2009;;
03.06.2009;;
29.04.2009;;
18.03.2009;;
07.02.2009;;
28.01.2009;;
16.01.2009;;
16.12.2008;;
29.10.2008;;
07.10.2008;;
29.09.2008;;
16.09.2008;;
05.08.2008;;
24.07.2008;;
25.06.2008;;
30.04.2008;;
18.03.2008;;
10.03.2008;;
30.01.2008;;
21.01.2008;;
09.01.2008;;
11.12.2007;;
06.12.2007;;
31.10.2007;;
18.09.2007;;
16.08.2007;;
10.08.2007;;
07.08.2007;;
28.06.2007;;
09.05.2007;;
21.03.2007;;
31.01.2007;;
12.12.2006;;
25.10.2006;;
20.09.2006;;
08.08.2006;;
29.06.2006;;
10.05.2006;;
28.03.2006;;
31.01.2006;;
13.12.2005;;
01.11.2005;;
20.09.2005;;
09.08.2005;;
30.06.2005;;
03.05.2005;;
22.03.2005;;
02.02.2005;;
14.12.2004;;
10.11.2004;;
21.09.2004;;
10.08.2004;;
30.06.2004;;
04.05.2004;;
16.03.2004;;
28.01.2004;;
09.12.2003;;
28.10.2003;;
16.09.2003;;
15.09.2003;;
12.08.2003;;
25.06.2003;;
06.05.2003;;
16.04.2003;;
08.04.2003;;
01.04.2003;;
25.03.2003;;
18.03.2003;;
29.01.2003;;
10.12.2002;;
06.11.2002;;
24.09.2002;;
13.08.2002;;
26.06.2002;;
07.05.2002;;
19.03.2002;;
30.01.2002;;
11.12.2001;;
06.11.2001;;
02.10.2001;;
17.09.2001;;
13.09.2001;;
21.08.2001;;
27.06.2001;;
15.05.2001;;
18.04.2001;;
11.04.2001;;
20.03.2001;;
31.01.2001;;
03.01.2001;;
19.12.2000;;
15.11.2000;;
03.10.2000;;
22.08.2000;;
28.06.2000;;
16.05.2000;;
21.03.2000;;
02.02.2000;;
21.12.1999;;
16.11.1999;;
05.10.1999;;
24.08.1999;;
30.06.1999;;
18.05.1999;;
30.03.1999;;
03.02.1999;;
22.12.1998;;
17.11.1998;;
15.10.1998;;
29.09.1998;;
21.09.1998;;
18.08.1998;;
01.07.1998;;
19.05.1998;;
31.03.1998;;
04.02.1998;;
